Date,Year,Month,Revenue_Growth,Gross_Margin,EBITDA_Margin,Net_Margin,ROA,ROE,Current_Ratio,Quick_Ratio,Debt_to_Equity,Working_Capital,Cash_Conversion_Days,Customer_Acquisition_Cost,Customer_Lifetime_Value
2022-01-01,2022,1,0.10547159769540282,0.35691321505855916,0.04345553019765833,0.01159164764824375,0.010147979636521911,0.020295959273043822,2.0,1.6,1.0,179849.90552426127,40.10666310856318,585.5455813683138,6556.065967537196
2022-02-01,2022,2,0.07515585819575951,0.27103935922463046,-0.022692820005263094,-0.03801961500394732,-0.03186611653112419,-0.06373223306224839,2.0,1.6,1.0,180144.43517401803,62.5418198987843,770.8871357995947,7083.004168235445
2022-03-01,2022,3,0.06684341626440568,0.37328648767851286,0.13439562424218945,0.07979671818164208,0.09085776737065607,0.18171553474131213,2.0,1.6,1.0,133538.28050691774,53.66191942910101,529.648543058272,6481.254296814936
2022-04-01,2022,4,0.150421817484746,0.40064155601672113,0.1421000075109867,0.08557500563324003,0.06939955578481279,0.13879911156962557,2.0,1.6,1.0,191207.95362070904,61.27404794912006,693.4360512902349,4585.1725492282
2022-05-01,2022,5,0.03302607812802183,0.3612888150243267,0.10675330096902191,0.05906497572676644,0.04839731140973244,0.09679462281946488,2.0,1.6000000000000003,1.0,231860.8870955782,41.82924759437264,487.50993766615994,3167.3499391118057
2022-06-01,2022,6,-0.04178393728990026,0.40754967887111515,0.13196223635091658,0.07797167726318745,0.06161509974222657,0.12323019948445314,2.0,1.6,1.0,220398.0305185484,67.04110544477845,513.8508347490708,6020.57620766565
2022-07-01,2022,7,0.10332621864197919,0.2573860907745531,-0.014703749917381622,-0.032027812438036214,-0.0264371676985084,-0.0528743353970168,2.0,1.6,1.0,183146.22044944033,35.37758034929653,630.5814715451777,4399.431240824937
2022-08-01,2022,8,0.24185383353190257,0.33955682024976214,0.1167044011021429,0.06652830082660717,0.04901830067423473,0.09803660134846946,2.0,1.6,1.0,199332.06541083817,79.39044093573962,513.488624309671,2739.3359250329963
2022-09-01,2022,9,-0.035395204662038465,0.3414315859405015,0.08304632692577991,0.04128474519433494,0.03302436113800174,0.06604872227600347,2.0,1.6,1.0,246371.87199447065,47.716697353218606,676.0443548887024,3111.3706792844578
2022-10-01,2022,10,0.22121337120998205,0.37303193854798933,0.0843656212337114,0.04227421592528356,0.03339424290971656,0.06678848581943311,2.0,1.6,1.0,227487.57658112625,55.471645511781716,252.2233775525952,6894.4918610256855
2022-11-01,2022,11,-0.0606934794560733,0.36925411402081576,0.08330741446936238,0.041480560852021786,0.032788595493860026,0.06557719098772005,2.0,1.6,1.0,278126.97417586914,30.155040890698942,582.7911234759786,5091.05102200239
